Policy,Stage,Episode,Start,Pretrain loss,Pretrain expert loss,Pretrain gate loss,Pretrain allocation loss,Pretrain MMD loss,Mean reward,Final wealth,Critic explained variance,Validation feasible,Validation violation score,Validation annualised return,Validation return LCB,Validation Sharpe,KL coefficient,Stop for KL,Lambda cvar,Lambda drawdown,Lambda turnover,Lambda hhi,Loss,Policy loss,Value loss,Quantile loss,Cost value loss,Direct utility loss,Expert auxiliary loss,Gate auxiliary loss,Approximate KL,Clip fraction,Gradient norm,Mean optimiser-base reliance,Mean temporal-return gate,Mean risk-expert usage,Mean predictive-return gate,Temporal mode,Uses risk graph,Uses predictive graph,Policy seed,Window
X-GAT-DRL (Hybrid),pretrain,0,,2.367134461800257,2.3626925945281982,0.030309251820047695,0.0014109259645920247,0.09156082384288311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,1,,2.250614960988363,2.246571203072866,0.02824690192937851,0.001219012633858559,0.08739160497983296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,2,,2.3459423581759133,2.341784358024597,0.028137051810820896,0.001344292487677497,0.08478038882215817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,3,,2.3298848271369934,2.3261431753635406,0.02758567888910572,0.0009830836788751185,0.08405510957042377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,4,,2.151416391134262,2.1476512253284454,0.025735182765250404,0.0011916295528256644,0.08473066488901775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,5,,2.2250227431456246,2.2213291923205056,0.02527971612289548,0.0011655677468903984,0.0850884976486365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,6,,2.241207331418991,2.2374513943990073,0.025724722538143396,0.0011835127806989476,0.0868682141105334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),pretrain,7,,2.0569389363129935,2.0533882876237235,0.021882565847287577,0.001362405300217991,0.08700457401573658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),ppo,0,1542.0,,,,,,0.001551404097686629,1.5465242376526593,-1.9986990552204826,,,,,,0.03,True,0.0,0.0,0.0,0.0,0.1586572676897049,0.005867626518011093,0.090657077729702,0.2851946949958801,0.34661000967025757,0.0,1.1143741607666016,0.0,0.018930315040051937,0.2421875,5.0339577198028564,0.474573090672493,1.0,1.0,0.0,hybrid,True,True,101,fixed holdout
X-GAT-DRL (Hybrid),ppo,1,1833.0,,,,,,-0.024709127765131154,1.4451250570795602,0.015563953159938526,,,,,,0.045,True,0.0,0.0,0.0,0.0,0.564510703086853,0.009982028976082802,0.1944778487086296,0.35674212872982025,1.6899511218070984,0.0,2.143658459186554,0.0,0.021981610916554928,0.2890625,4.628990411758423,0.47463054955005646,1.0,1.0,0.0,hybrid,True,True,101,fixed holdout
