,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ,Cash
2019-01-02,0.043572332710027695,0.04437107965350151,0.04268299639225006,0.04281857013702393,0.04399705231189728,0.04752216562628746,0.04732369184494019,0.04623388722538948,0.04366687536239624,0.047003400325775144,0.04436776414513588,0.04388105347752571,0.4625591039657593
2019-01-03,0.04233333766460419,0.04391429051756859,0.0407619908452034,0.04079691469669342,0.04304752722382545,0.05010912269353866,0.04961913973093033,0.04768025130033493,0.04222967773675919,0.04888563826680183,0.04356304705142975,0.04445415362715721,0.4626049041748047
2019-01-04,0.042251020669937134,0.0438888281583786,0.03956422284245491,0.03868934623897076,0.04234640896320343,0.05173750445246696,0.05190648585557937,0.04862196370959282,0.040067602694034574,0.05086588561534881,0.04235064834356308,0.0445482961833477,0.4631618022918701
2019-01-07,0.042196952551603314,0.04452034682035446,0.03878562785685062,0.0373729694634676,0.04160019010305405,0.054040754213929176,0.05343129262328148,0.0500565193593502,0.03853142634034157,0.05241325721144676,0.04142070412635803,0.04364738762378693,0.4619825541973114
2019-01-08,0.04146439582109451,0.044347405433654785,0.037617534026503564,0.03583480790257454,0.04008461609482765,0.056066573783755305,0.0551392812281847,0.05192543379962444,0.03736042566597462,0.05466398075222969,0.041083262860774995,0.042617153376340866,0.46179515719413755
2019-01-09,0.040813174471259116,0.04415015913546085,0.036659113317728045,0.03489623479545116,0.039035698771476744,0.05700035654008388,0.05613226741552353,0.053793730586767195,0.03654724135994911,0.05626041106879711,0.04106059521436691,0.041852258145809174,0.46179875135421755
2019-01-10,0.04008428156375885,0.04395155124366283,0.035791028290987015,0.03442294560372829,0.038553182035684586,0.05737335160374642,0.05658584237098694,0.05534737072885036,0.03610750436782837,0.05815877579152584,0.041183841228485105,0.040520095825195314,0.4619202375411987
2019-01-11,0.03995648324489594,0.044104556739330295,0.03538133669644594,0.034217970445752144,0.03825635313987732,0.05749524123966694,0.056654854118824004,0.05699802748858929,0.03622640483081341,0.05958290733397007,0.041015511751174925,0.040235236287117004,0.4598751187324524
2019-01-14,0.04016130566596985,0.044473325833678246,0.03540707267820835,0.03425138369202614,0.03827953301370144,0.05897091515362263,0.058090731129050256,0.05929883010685444,0.036828136816620824,0.06218641437590122,0.04146084114909172,0.04038441218435764,0.4502071142196655
2019-01-15,0.03992978967726231,0.0448116235435009,0.035207940451800826,0.0339640699326992,0.03818625062704086,0.06017497852444649,0.058793139085173605,0.06072048358619213,0.037133073434233665,0.0642072957009077,0.04146465063095093,0.04007839560508728,0.4453283429145813
