,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ,Cash
2019-01-02,0.04363203644752502,0.045287514477968215,0.045578306168317796,0.04538274556398392,0.045817970484495166,0.04693483635783195,0.04639304205775261,0.04644682854413986,0.044665537774562836,0.04725558087229729,0.045798472315073016,0.045653827488422394,0.4511532783508301
2019-01-03,0.04216293841600418,0.04531723856925964,0.04599037393927574,0.04486708417534828,0.04585394337773323,0.048002072423696515,0.04693196192383766,0.04712114185094833,0.04373326227068901,0.0484537273645401,0.045992498844861986,0.044214983284473416,0.4513587713241577
2019-01-04,0.040243329107761384,0.0447281688451767,0.04500065967440605,0.04398195445537567,0.044454853236675265,0.049083811789751054,0.04802265167236328,0.04842553064227104,0.04385326653718948,0.05036467537283897,0.047110806405544284,0.0442942202091217,0.4504360735416412
2019-01-07,0.03938157185912132,0.045902376621961595,0.04545946046710014,0.0434624657034874,0.04390411451458931,0.04823068454861641,0.04739817157387734,0.04945230334997177,0.04316763132810593,0.05111673623323441,0.048374751955270766,0.044454663246870044,0.44969508051872253
2019-01-08,0.03802762627601623,0.04591350927948952,0.04560084789991379,0.042479760199785235,0.04272971749305725,0.04746063351631165,0.04720070995390415,0.05053947232663632,0.0422422394156456,0.052499768510460856,0.04990087449550629,0.044927722215652464,0.4504770994186401
2019-01-09,0.03687833733856678,0.045874401926994324,0.04587854966521263,0.04181620106101036,0.04187038764357567,0.04648953378200531,0.046875175833702085,0.051488079503178595,0.04154742695391178,0.053356562927365306,0.051588349789381024,0.04538932517170906,0.45094765424728395
2019-01-10,0.035763243958353994,0.045773891359567644,0.046096283942461014,0.04137948900461197,0.04142245575785637,0.04554126411676407,0.046571257337927816,0.052099990844726565,0.04114827029407024,0.054414864629507065,0.053038758039474485,0.04552440121769905,0.45122581720352173
2019-01-11,0.03531305119395256,0.04620250836014748,0.04694429710507393,0.04127783179283142,0.0413387693464756,0.044749794900417326,0.04609809406101704,0.05197927542030811,0.0414689552038908,0.05459936335682869,0.053914187103509904,0.0466313362121582,0.44948253631591795
2019-01-14,0.03543900959193706,0.047203028202056886,0.04845665693283081,0.04106723591685295,0.04151949882507324,0.04501723200082779,0.04692295230925083,0.05300463996827602,0.042054028064012525,0.056099783070385455,0.05545375719666481,0.048262762278318404,0.439499431848526
2019-01-15,0.034951890259981154,0.04782329127192497,0.0489651083946228,0.04100074842572212,0.041445398703217506,0.04540933817625046,0.0474213145673275,0.05327580273151398,0.042339617386460304,0.05774479061365127,0.05598765686154365,0.04941914081573486,0.43421589732170107
2019-01-16,0.03582395985722542,0.05004787892103195,0.05112091600894928,0.04199309423565865,0.042686619237065314,0.04687123820185661,0.04885343797504902,0.055015440285205844,0.04350643120706081,0.06042784508317709,0.058156813681125644,0.05207221284508705,0.41342411637306214
2019-01-17,0.04031273163855076,0.056732064485549925,0.05861884877085686,0.04725729525089264,0.04875702559947968,0.05346114635467529,0.05547583848237991,0.06252846159040928,0.04934878870844841,0.06934164706617593,0.06635863780975342,0.06012091785669327,0.3316865861415863
2019-01-18,0.04598766081035137,0.06513517424464225,0.06772169098258018,0.05360590219497681,0.05574362576007843,0.06130175217986107,0.06358421705663204,0.0717875599861145,0.056459352001547815,0.0797579638659954,0.07612544000148773,0.06962724253535271,0.23316243588924407
2019-01-22,0.04817621409893036,0.06833918988704682,0.07140482291579246,0.055799199640750884,0.05806275904178619,0.06338222697377205,0.0660635445266962,0.07528661005198956,0.05888045020401478,0.08135788943618535,0.0803146705031395,0.07336055859923363,0.1995718687772751
2019-01-23,0.04711369425058365,0.06905329525470734,0.07045596316456795,0.05349115505814552,0.05661855116486549,0.06358367279171943,0.06681932657957076,0.07701679430902005,0.05932628810405731,0.08179247491061688,0.08094076886773109,0.0740190252661705,0.19976899325847625
2019-01-24,0.046693123504519464,0.07011378780007363,0.07024289146065713,0.05266785547137261,0.056808196008205414,0.06388088464736938,0.06747005693614483,0.07919152975082397,0.05985137037932873,0.08214222472161055,0.0817503273487091,0.07502169907093048,0.19416605830192565
2019-01-25,0.04592418633401394,0.07051076889038085,0.07011024430394172,0.051604115217924115,0.056751954928040506,0.0637837789952755,0.06764326021075248,0.08080030307173729,0.059681269153952596,0.08190874177962541,0.08223130777478219,0.07580250203609466,0.19324756562709808
2019-01-28,0.045479082688689235,0.07060739547014236,0.07028698474168778,0.05092339441180229,0.056714295595884326,0.06312973946332931,0.067001461237669,0.08240286223590373,0.0590597540140152,0.0808520982041955,0.08275537565350533,0.07691786140203476,0.19386967420578002
2019-01-29,0.0444329310208559,0.07172298282384873,0.06994246914982796,0.05002954825758934,0.05582857951521873,0.06371819153428078,0.06722223423421383,0.0846802283078432,0.05873884707689285,0.08065003715455532,0.08087241426110267,0.0786825679242611,0.1934790015220642
2019-01-30,0.04329674877226353,0.07327797263860703,0.06947765052318573,0.049422626942396165,0.05538294054567814,0.06398994475603104,0.06716786958277225,0.08617231398820877,0.0580525629222393,0.08027796167880297,0.08055207133293152,0.07989110499620437,0.1930382251739502
2019-01-31,0.04239410981535911,0.0734113696962595,0.06959574297070503,0.04869941473007202,0.05506160631775856,0.06389514580368996,0.06679514609277248,0.08596342876553535,0.05712774582207203,0.08004008401185274,0.07969690263271331,0.080601504445076,0.1967178016901016
2019-02-01,0.042291828989982606,0.07373256832361222,0.0709096297621727,0.0484391026198864,0.055062596872448924,0.06448738276958466,0.06719666309654712,0.08449382074177265,0.05696334764361381,0.08096364112570882,0.07891026884317398,0.08273487463593483,0.19381426572799682
