,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ,Cash
2019-01-02,0.043919271975755694,0.04505793079733848,0.044161819666624066,0.04345590323209762,0.04216554462909698,0.0426149919629097,0.042121327668428424,0.04152574986219406,0.045242121815681456,0.04426257833838463,0.0466346763074398,0.04460576251149177,0.4742323160171509
2019-01-03,0.04433378949761391,0.04694169908761978,0.04546331316232681,0.04345490038394928,0.04074786975979805,0.04115002453327179,0.040314112603664395,0.03805625066161156,0.04694419503211975,0.04375979229807854,0.04806999266147614,0.045735322684049604,0.4750287473201752
2019-01-04,0.045109962671995164,0.048162426054477694,0.046636294573545456,0.04429129734635353,0.040993551909923556,0.039828932285308837,0.03867078647017479,0.03624905943870545,0.04804367199540138,0.04382066987454891,0.04815121740102768,0.046172729879617694,0.47386940121650695
2019-01-07,0.04527941718697548,0.04967322051525116,0.047324391454458235,0.044703052192926404,0.039858822524547574,0.04063548482954502,0.037415926530957225,0.034040910005569455,0.04809761419892311,0.04369979463517666,0.0480956993997097,0.048536012321710585,0.4726396441459656
2019-01-08,0.046755065023899076,0.05225505903363228,0.04839462488889694,0.04485641568899155,0.03967534080147743,0.03956925347447395,0.0351086650043726,0.032159850001335144,0.04798554703593254,0.043008892238140105,0.048601295053958896,0.05004750192165375,0.4715824842453003
2019-01-09,0.046530361846089364,0.052928758412599565,0.04810564815998077,0.04358801245689392,0.03792648836970329,0.041750417277216914,0.035267319157719614,0.029855527356266974,0.04813836142420769,0.04394161440432072,0.04804869741201401,0.05009555220603943,0.4738232493400574
2019-01-10,0.04679663591086865,0.054026469588279724,0.04810209274291992,0.043161303550004956,0.037205202877521514,0.043248696997761724,0.03449878133833408,0.028115966357290745,0.04825282469391823,0.04455972351133823,0.04930504038929939,0.04930044934153557,0.4734268069267273
2019-01-11,0.046998316794633864,0.054952987283468244,0.04869475662708282,0.04375059604644775,0.03663533851504326,0.042432960122823715,0.03294908031821251,0.02684653140604496,0.049055515229701994,0.04427812099456787,0.04901271238923073,0.04918227642774582,0.47521079778671266
2019-01-14,0.04812127575278282,0.057307028025388715,0.049443376064300534,0.045148787647485734,0.03607232868671417,0.04290599673986435,0.032161247730255124,0.025198433361947537,0.052558208256959914,0.0448334151878953,0.04974489957094193,0.05205771252512932,0.46444729566574094
2019-01-15,0.048733876645565034,0.05885562673211098,0.04999318048357963,0.0449117474257946,0.035395615920424464,0.04216230846941471,0.031215669959783553,0.024668933637440205,0.053861099481582644,0.04493713453412056,0.05137794613838196,0.05346743166446686,0.4604194462299347
