,X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),X-GAT-DRL (LSTM),1/N,GMV,HMM-GMV,GLASSO-GAT,TC-MAC,JM-MPC
2019-01-02,0.9996176479898733,0.9996908432413834,0.9996818270569944,1.0001111346677987,1.0006865220665857,1.0009511518548142,0.9995690433223738,1.0005809917238466,1.0001689849333302
2019-01-03,0.9970459754282104,0.9975077463588455,0.9972470397733492,0.9953548250189617,1.0025496776849365,1.003400704150173,0.9937760387968771,0.9960130462912961,0.9956337112286281
2019-01-04,1.0058936002174002,1.0051463901921922,1.0054771839942807,1.011128206050749,1.0031866391701816,1.0029326237784362,1.0124744378012716,1.0119929964986465,1.010410916309129
2019-01-07,1.0092109758549592,1.007950059784769,1.0085575654159955,1.0168578920177858,1.0042242477283734,1.0028530479798659,1.0187719878792014,1.0172066561842272,1.0158949843908187
2019-01-08,1.0129641513532295,1.0109652345616889,1.0119499964722583,1.0232567176230782,1.0049546655821613,1.0028244677732854,1.026426891102299,1.0225059736758093,1.0220314044291798
2019-01-09,1.0165492744781262,1.014274799245206,1.0156606865780533,1.029981602211958,1.0068411527753824,1.0047798259946943,1.0325586290303654,1.0278078785750642,1.0284829067970305
2019-01-10,1.0177547443959218,1.0148792558368518,1.0165210926933808,1.0318750480035754,1.005800250184936,1.0045354792238899,1.0342662534032778,1.0288763190909067,1.030341441446213
2019-01-11,1.017332907067326,1.0148124580233537,1.0162465840241932,1.0311930173035357,1.0064312840360312,1.0058403422719435,1.0338991409254286,1.0284974106676281,1.029650697450714
2019-01-14,1.0146359984098845,1.0124688579451266,1.0136022806161884,1.0262546021232912,1.0050903440295367,1.0040871936876976,1.0297332656220526,1.0240016794528077,1.0249048558507075
2019-01-15,1.0182056398032118,1.0150903131442175,1.0166917510349407,1.0319557591746285,1.005770515379546,1.0055503491234399,1.0337786494456853,1.0292932514141764,1.0304120373576842
2019-01-16,1.020296626612111,1.0170106680759667,1.0188991243975989,1.0357462069526113,1.0066230844629467,1.0059011694752495,1.036597271916626,1.032302555404578,1.0340654649727092
2019-01-17,1.022641461446188,1.0187664650623882,1.020959766467526,1.0391818832759836,1.0071207258880719,1.0067639169305709,1.0391203074169768,1.035284800129409,1.0374046290663126
2019-01-18,1.0262569810751097,1.0207916029963664,1.0237627169826138,1.0434630716016076,1.0069133401818957,1.0084053074915686,1.0419298649697613,1.0388410850218597,1.0416393919811988
2019-01-22,1.0197284461261555,1.016562524767101,1.0185014417151184,1.0362058245886718,1.0069775520418407,1.0059780829342775,1.0371237025763684,1.032638033592003,1.0344880539618897
2019-01-23,1.0206425672447652,1.017485142819331,1.019381238929311,1.0376313340851149,1.0071678817877716,1.0069011475722616,1.0384078709016304,1.0337596633957002,1.0358559258899798
2019-01-24,1.0232921854593129,1.0201744586770771,1.0222044826520202,1.0412364631061508,1.008681908751449,1.0098368575017311,1.0419060749252163,1.036893016948361,1.0393081014234133
2019-01-25,1.0298312469384172,1.0256225278950362,1.0281254023519775,1.0487279398506475,1.0099096963407748,1.0113473948964913,1.0497997425329513,1.0435231722268115,1.0465418223182024
2019-01-28,1.0263113829927795,1.0230129371273238,1.0253590215305701,1.0448928123286854,1.0090256615498938,1.0086906837400342,1.046427063485742,1.0398705348814288,1.042818688218118
2019-01-29,1.027325388130642,1.024758485466895,1.0272458197872043,1.0469395373334986,1.0106055468476314,1.0100752943743612,1.048026186378767,1.041365066330121,1.0447471889555433
2019-01-30,1.0366197633807415,1.0324620732626495,1.0351475447083809,1.0573995578631359,1.0132405221346645,1.0166257525346054,1.0587845605792343,1.0512471287668175,1.0548032190702161
2019-01-31,1.0413850821576895,1.0372087927914984,1.0399461230670954,1.0635278766286238,1.0157362185764343,1.0222733168306617,1.0644296863570157,1.056883443972714,1.0606709458216754
2019-02-01,1.040219296524119,1.035369742621634,1.0382463132291733,1.0613306121216803,1.0145164722016877,1.019940027934916,1.0626898215114486,1.0550273157517231,1.0586048271959667
2019-02-04,1.0436742494092168,1.037240771060847,1.0405828288866634,1.0644034660508672,1.0140547344005484,1.0206780462579295,1.0658943129997807,1.0584165219178083,1.0616990293165456
2019-02-05,1.047225286490127,1.0408108191010446,1.0440361325116372,1.0691368787880597,1.0155887479989267,1.0239336238186831,1.0700137758273973,1.062754872120673,1.0662422916874794
2019-02-06,1.0447941755888457,1.0382417608619288,1.0414424422184,1.0657665835771637,1.0150311376652406,1.0233305763339158,1.0670964218261565,1.0598914828302075,1.0629758597506367
2019-02-07,1.0403909695873417,1.0354951643119814,1.0386321856348137,1.0615755312337438,1.015158998095795,1.0218279887987394,1.0627631249834535,1.0555527425308657,1.058837466547945
2019-02-08,1.0409631096159857,1.036312943822676,1.0394570841570543,1.0623065632637496,1.016376984093298,1.0234590499962217,1.063257372181268,1.0561409309130654,1.0595016821785623
2019-02-11,1.040276349731123,1.0352782939385459,1.0387279923782495,1.0612819990851154,1.0151220880860325,1.0220168069228797,1.0625990600237096,1.0552127527673802,1.0586215579061513
2019-02-12,1.0458091660548643,1.0393303624897645,1.0427758831215486,1.0669472082261,1.0161687888366824,1.0252539491764079,1.0683813220145222,1.0607989502512742,1.0641075719490642
2019-02-13,1.046120200322248,1.0389889958543375,1.0427916393321581,1.0666352672827233,1.0153061958202902,1.0240633448078538,1.0681560802301702,1.060478895323457,1.0639165871129532
2019-02-14,1.0476919960741928,1.0409360000712848,1.0448673410351323,1.068988926076466,1.017035379222117,1.0261680228364354,1.0700913803406904,1.062437382433938,1.0661126547234658
2019-02-15,1.0538326963114706,1.0461716626684852,1.0507851297528552,1.0761466228310244,1.0189999884363994,1.029498206258215,1.0768685558265387,1.0689164410221788,1.0730705089192927
2019-02-19,1.0565582051504725,1.0490898936820627,1.0536256449539083,1.079799270968455,1.02083290309195,1.0308744896955537,1.0797226164766158,1.0720610102996486,1.076504135156322
2019-02-20,1.057174827780833,1.049340306442267,1.0539302507152042,1.0804362667658753,1.020590966586169,1.0308630575441795,1.0801951955446512,1.0724432277035716,1.0771588259967708
2019-02-21,1.0548816209627214,1.0465223918319282,1.051344708312993,1.077004299777219,1.01825044288752,1.0278216753816125,1.0770299099892655,1.069226373530657,1.0739802437353492
2019-02-22,1.059192763325977,1.0509346009953595,1.0558355092939076,1.0827458800992662,1.020400263590492,1.0318972074468808,1.0821814239266685,1.0746187999638024,1.0795033445908448
2019-02-25,1.0583119941829182,1.05012088400706,1.0544641697954327,1.0819789392086836,1.019405621369438,1.0308208155419198,1.0815005062630232,1.0738648769782846,1.0787803690981232
2019-02-26,1.059012899621083,1.0507807794358777,1.0548479600694183,1.0827467608643344,1.0207844497469785,1.0328888498075386,1.0825060088595067,1.074441812682426,1.0793892519415322
2019-02-27,1.057386908248465,1.0482027138213237,1.0527069976029437,1.079439811328483,1.0187228794656913,1.0303261584016552,1.079452181404471,1.0713633897446337,1.0763540382306944
2019-02-28,1.0552394732088397,1.0458554345622704,1.0504368253564407,1.076245897948631,1.0173905128355247,1.0283851700091489,1.0766040070850598,1.0684555447882946,1.073336372469728
2019-03-01,1.05437986715523,1.0445562975310783,1.049466422745617,1.0750124975913744,1.0147741438169606,1.0272058830965125,1.0762855293589704,1.0681038906872622,1.0724182927336754
2019-03-04,1.0542829660559327,1.044798575147128,1.0494622573219614,1.0751796452871965,1.0159145029055356,1.0288065782464755,1.0764676453122846,1.0680893448523896,1.072444235550624
2019-03-05,1.0553561229716346,1.0458651185696113,1.0504618636009526,1.076714914770378,1.0165219780558492,1.0293206511784165,1.077589154737062,1.0693897594489075,1.0738797256925476
