,X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),X-GAT-DRL (LSTM),1/N,GMV,HMM-GMV,GLASSO-GAT,TC-MAC,JM-MPC
2019-01-02,0.4242323183773509,0.4125591163133141,0.4011532883283418,0.04999999999999992,0.49989627675381076,0.6638302978644249,0.1378203279517066,0.12057465833970853,6.141933489578477e-11
2019-01-03,0.014483419778418317,0.016407218761085106,0.012591337727172983,0.0021363599541793094,0.0007905305373595066,0.004410346558570327,0.07928284460810578,0.05655915974069505,5.968602348471741e-11
2019-01-04,0.014876391269483504,0.013505523254611778,0.014752555639236423,0.006517539426387713,0.0023670720289752298,0.0033106810283989817,0.1620377372223616,0.162393362131069,5.525540441864152e-11
2019-01-07,0.010913454462588646,0.015162159592355501,0.013455943299347203,0.008050850649230938,0.0031370316796775592,0.01189944357855747,0.27605842529020563,0.21420726414693828,6.326664192535247e-11
2019-01-08,0.011291876833993103,0.014261914150403237,0.011749001988252575,0.002498184025029146,0.0013515705560500683,0.002115170458040583,0.13947092570393982,0.12475943048835605,6.542172706347493e-11
2019-01-09,0.01413423287520917,0.013320663521564729,0.010556624043384014,0.00276116602284579,0.0012310475375957779,0.001611003005241992,0.09979927119617879,0.03114706769078998,6.875168490072525e-11
2019-01-10,0.010945559201938914,0.011811963398980625,0.009163173055051257,0.002681273946821057,0.0014226118194135382,0.002133973012797805,0.10003943060702927,0.03308109542418016,7.032781301763436e-11
2019-01-11,0.0111628034760308,0.012668990782875733,0.009402442924024727,0.0022667292342710837,0.001102684154236823,0.01825321657972384,0.11763731560373747,0.055853793895968416,7.341640836933117e-11
2019-01-14,0.018670904129309045,0.015246342673323792,0.013562213259748731,0.0015476607941418905,0.0007558022539116587,0.04393277280648309,0.07274446327807446,0.09201780412713513,7.237523427794379e-11
2019-01-15,0.012175358676723919,0.010779610714050087,0.011715102410011067,0.0014900678183545485,0.0010461996712371633,0.01913804611583338,0.10087913367511517,0.08250036529320673,7.094859075240656e-11
2019-01-16,0.022537368046194942,0.022291663046142003,0.020831564135372713,0.002523621538287113,0.0010828024134212416,0.06263269303873281,0.1159177995903633,0.10790693641060693,7.386957365240754e-11
2019-01-17,0.08383290689465676,0.0819576857250642,0.08086941016409166,0.0014360973064645316,0.0005415615465063895,0.18555638391114931,0.053863421070001014,0.03648082363489648,7.550601810457636e-11
2019-01-18,0.10647319652113459,0.10060092940108296,0.09785301114733494,0.001445277799569683,0.0005831061838635163,0.1657477258739803,0.040371626607855406,0.014906433949734505,1.3752540772848931e-13
2019-01-22,0.037968269992942213,0.035740826900961906,0.03367454801194296,0.002827709543447847,0.0014323815422626358,0.0416153652258124,0.04431626914112687,0.045900846448066954,1.3744907989554633e-13
2019-01-23,0.016747382915778677,0.012367628151390277,0.01700996860186527,0.0039877461319738905,0.0014343815528853445,0.003206761501137312,0.24943153147686198,0.1506975362163731,1.3752887717544127e-13
2019-01-24,0.014071900607715349,0.012863700239163268,0.012037034708081932,0.0012155763760773736,0.0003617827609499124,0.005523732352562692,0.08575862301080724,0.14589916747096904,1.3750112159982564e-13
2019-01-25,0.014871255587946521,0.008687691143560097,0.006109716715712328,0.001232807911544613,0.0009592402533040243,0.001272753066212803,0.060105342179673435,0.03900860703421541,1.3749765215287368e-13
2019-01-28,0.008878127301253895,0.0074911313843305655,0.007059673737352126,0.002858443465201428,0.0015763360996562483,0.0021609177613535462,0.09299986271185343,0.05029482945313017,1.3752540772848931e-13
2019-01-29,0.017124728086898102,0.009698571773098373,0.01209790711259728,0.0027438636543064623,0.0009591140034044375,0.001765555507559138,0.09881399647854579,0.09537482730889779,1.3751499938763345e-13
