Date,HMM state 0,HMM state 1,Reference stress,Market phase,Window
2019-01-02,0.014130127599645978,0.9858698724003541,0,Bear,fixed holdout
2019-01-03,0.01436018998494997,0.98563981001505,0,Bear,fixed holdout
2019-01-04,5.883002385994271e-05,0.99994116997614,0,Bear,fixed holdout
2019-01-07,0.0041721782887001214,0.9958278217112999,0,Bear,fixed holdout
2019-01-08,0.006832131335497022,0.993167868664503,0,Bear,fixed holdout
2019-01-09,0.011053394457256284,0.9889466055427437,0,Bear,fixed holdout
2019-01-10,0.04401862258952748,0.9559813774104725,0,Bear,fixed holdout
2019-01-11,0.12321819987569567,0.8767818001243043,0,Bear,fixed holdout
2019-01-14,0.15635769214592177,0.8436423078540782,0,Bear,fixed holdout
2019-01-15,0.2707058674544901,0.7292941325455099,0,Bear,fixed holdout
2019-01-16,0.6085513871836453,0.3914486128163546,0,Bear,fixed holdout
2019-01-17,0.9107448376294177,0.08925516237058234,0,Bear,fixed holdout
2019-01-18,0.9878861768912061,0.0121138231087939,0,Bear,fixed holdout
2019-01-22,0.9867083068203667,0.013291693179633253,0,Bear,fixed holdout
2019-01-23,0.997340930402489,0.002659069597511088,0,Bear,fixed holdout
2019-01-24,0.9987710438667048,0.0012289561332952633,0,Bear,fixed holdout
2019-01-25,0.997623117001854,0.0023768829981459625,0,Bear,fixed holdout
2019-01-28,0.9985079699778402,0.0014920300221598058,0,Sideways,fixed holdout
2019-01-29,0.9993254349719286,0.0006745650280714037,0,Sideways,fixed holdout
2019-01-30,0.9929001840626147,0.007099815937385243,0,Sideways,fixed holdout
2019-01-31,0.9978289906835549,0.002171009316445084,0,Sideways,fixed holdout
2019-02-01,0.9990698541961358,0.0009301458038641401,0,Sideways,fixed holdout
2019-02-04,0.9994316099097679,0.0005683900902321247,0,Sideways,fixed holdout
2019-02-05,0.9994963118956088,0.0005036881043912085,0,Sideways,fixed holdout
2019-02-06,0.9994624097512679,0.0005375902487320963,0,Sideways,fixed holdout
2019-02-07,0.9992797222004526,0.0007202777995474174,0,Sideways,fixed holdout
2019-02-08,0.9996615088542438,0.00033849114575628845,0,Sideways,fixed holdout
2019-02-11,0.9997437743463573,0.00025622565364266105,0,Sideways,fixed holdout
2019-02-12,0.9995789939034659,0.00042100609653417093,0,Sideways,fixed holdout
2019-02-13,0.9998101444839732,0.00018985551602681612,0,Sideways,fixed holdout
2019-02-14,0.9998474669927733,0.00015253300722679335,0,Sideways,fixed holdout
2019-02-15,0.9995830789566098,0.0004169210433902007,0,Sideways,fixed holdout
2019-02-19,0.9998311000757517,0.00016889992424828134,0,Sideways,fixed holdout
2019-02-20,0.9998926822425012,0.00010731775749885957,0,Sideways,fixed holdout
2019-02-21,0.999829940206868,0.00017005979313203227,0,Sideways,fixed holdout
2019-02-22,0.9997628202263189,0.00023717977368106798,0,Sideways,fixed holdout
2019-02-25,0.9998812511599957,0.00011874884000427974,0,Sideways,fixed holdout
2019-02-26,0.999908088128086,9.19118719140661e-05,0,Sideways,fixed holdout
2019-02-27,0.9998705569371636,0.00012944306283635572,0,Sideways,fixed holdout
2019-02-28,0.9998699080585538,0.0001300919414461816,0,Sideways,fixed holdout
2019-03-01,0.999910155558036,8.984444196407313e-05,0,Sideways,fixed holdout
2019-03-04,0.9999300800869346,6.991991306538866e-05,0,Sideways,fixed holdout
2019-03-05,0.9999376097890214,6.239021097873412e-05,0,Sideways,fixed holdout
2019-03-06,0.9999072976177598,9.270238224019896e-05,0,Sideways,fixed holdout
2019-03-07,0.999876644575907,0.00012335542409302837,0,Sideways,fixed holdout
2019-03-08,0.9999337856700317,6.621432996829139e-05,0,Sideways,fixed holdout
2019-03-11,0.9994427117314051,0.000557288268594872,0,Sideways,fixed holdout
2019-03-12,0.9997850736751107,0.00021492632488933776,0,Sideways,fixed holdout
2019-03-13,0.9998204010979388,0.00017959890206129678,0,Sideways,fixed holdout
2019-03-14,0.9998138456355263,0.00018615436447374565,0,Sideways,fixed holdout
2019-03-15,0.999765407029082,0.00023459297091789138,0,Sideways,fixed holdout
