Method,Annualised return,Annualised volatility,Sharpe ratio,Daily Sharpe ratio,Sortino ratio,Maximum drawdown,Calmar ratio,Daily VaR 95%,Daily CVaR 95%,Skewness,Excess kurtosis,Final wealth,Mean turnover,Total transaction cost,Mean HHI,Mean cash weight,Probabilistic Sharpe probability vs zero,Deflated Sharpe probability,Deflated Sharpe benchmark,DSR effective trials,Policy seed
X-GAT-DRL (Hybrid),0.0882179587219527,0.06768220484134113,1.2490943265854229,0.07868554648111248,1.143383550088793,-0.10093036074137596,0.8740477897230793,-0.006503958540150574,-0.01001175737334728,-0.7547204505996916,5.216393984659124,1.8960336075681161,0.017983943635102858,0.04603407080411981,0.1878792672896307,0.2865448835412323,0.9995500819952827,0.9941649574145295,0.3002767608247662,9.0,101
X-GAT-DRL (GRU),0.08172969279748266,0.07980855369276715,0.9843722729554393,0.062009624565416296,0.9114670949071295,-0.1433607828713861,0.5700979804972548,-0.007425308370976876,-0.01183858261377746,-0.815383700904341,9.01042996224745,1.8121422837616132,0.018754785457654622,0.047973007609948645,0.13890063554900556,0.266010469829822,0.9957061570292786,0.9661032309523334,0.3002767608247662,9.0,101
X-GAT-DRL (LSTM),0.0799923265058915,0.08551247627338342,0.8999147186163545,0.05668929872917957,0.8241871198150185,-0.1496470915577891,0.5345398007618539,-0.008649624097220466,-0.012902609153701986,-0.694515272366945,4.840514042583192,1.7902331399116236,0.01754373665219888,0.04515310266815251,0.1575657236470331,0.27226207631714944,0.9922654701452928,0.9466621715781088,0.3002767608247662,9.0,101
X-GAT-DRL (Hybrid),0.06732089655291507,0.07737295134004031,0.8420471561589807,0.053043984937757936,0.7749214912686853,-0.15700002965844229,0.42879543844274076,-0.007671455673650639,-0.011723953578884583,-0.7051243383442942,5.5603978879675235,1.6372740673705393,0.023373200214943806,0.058223408099788015,0.16061397104692327,0.30708428796702913,0.9883307076979896,0.9266762926686424,0.3031168294434398,9.0,211
X-GAT-DRL (GRU),0.07886009675987538,0.06092166866491664,1.2459444962695039,0.07848712582187502,1.151005984308143,-0.09394659475756817,0.8394141050388901,-0.00583777951400101,-0.009153873804861693,-0.4738601558539405,3.396647184592485,1.7760791498263517,0.016382471419590747,0.04220863368154325,0.18150773498431397,0.29882046262553846,0.9995976540781231,0.9943919421640632,0.3031168294434398,9.0,211
X-GAT-DRL (LSTM),0.07945999189588959,0.08616459856659285,0.8873819394376112,0.05589980784957378,0.8217698951629597,-0.1572816276388862,0.5052083519781936,-0.008009019028179127,-0.01274359724599747,-0.820901658238009,9.31531367060382,1.7835662863494308,0.017711757439061112,0.04557321007175801,0.15779262665065188,0.27686455735833243,0.9912564211548005,0.941160630247485,0.3031168294434398,9.0,211
X-GAT-DRL (Hybrid),0.08082667460254211,0.08751131738893261,0.8881844097731177,0.05595035872915133,0.8294370702525443,-0.15053653555247315,0.5369239720171985,-0.008216332963238803,-0.013176146857898053,-0.6093431107217485,7.362426709730709,1.800725864515378,0.020902050920900455,0.05286312295890615,0.17022995983753314,0.28178547454197184,0.9916580047817034,0.9583350841853945,0.24561439207728122,9.0,307
X-GAT-DRL (GRU),0.07738309681556088,0.08813226419100009,0.8457180007709442,0.05327522641263452,0.7763828427990358,-0.155566383052252,0.49742814159000703,-0.008291405947653064,-0.013215005262496617,-0.6986984817148701,8.085513138684687,1.757761236592316,0.016408519378440428,0.04233500222580004,0.16752751032739,0.3051891616279427,0.9885746895982547,0.9468388924959316,0.24561439207728122,9.0,307
X-GAT-DRL (LSTM),0.08598663984369614,0.0835623645040842,0.9871539628624421,0.06218485455871219,0.9084557520152012,-0.14129420865616182,0.608564502830713,-0.007987162136482966,-0.012825572469132079,-0.7913082487936455,6.190614335452395,1.866810991909183,0.017708886313905783,0.045371748105339615,0.1764500828281516,0.29188303292758966,0.9958605585393773,0.9763442001079048,0.24561439207728122,9.0,307
X-GAT-DRL (Hybrid),0.10020742930147808,0.07968955608741175,1.1983845664084585,0.07549113185082737,1.1066543444728982,-0.12790086383855914,0.7834773456101386,-0.007782626949693344,-0.012009945781232169,-0.6145919119103092,4.5408686950270445,2.0599524104553737,0.02004646791676933,0.050866265190811666,0.17400285219246975,0.2924245383805564,0.9993308276007005,0.9929801216289585,0.28072030551216204,9.0,401
