Phase,Method,Trading days,Conditional annualised return,Conditional annualised volatility,Conditional Sharpe,Conditional CVaR 95%,Mean turnover,Mean cash weight
Bull,X-GAT-DRL (Hybrid),1350,0.11596759013320224,0.06732796757389332,1.6296618833431449,-0.009857915405860868,0.021592696075467026,0.2515197545265411
Bull,X-GAT-DRL (GRU),1350,0.11136534356432115,0.06364788455188787,1.658960064993219,-0.009292822422996713,0.01816696177862145,0.24646148588669178
Bull,X-GAT-DRL (LSTM),1350,0.11357110847562835,0.06662142346681839,1.614676787238544,-0.009803129739053833,0.017727838605113417,0.2390835180406084
Bull,1/N,1350,0.15410346009107312,0.08738459390194955,1.6401497234920275,-0.012504842038566007,0.0026598635099671095,0.0
Bull,GMV,1350,0.049377728395673115,0.0341162633957543,1.412738209542217,-0.004812377588294888,0.0014740525049474343,0.5
Bull,HMM-GMV,1350,0.05191397213858617,0.054765094122405565,0.924153171816561,-0.00793526389865598,0.02049767466030384,0.06558589834602359
Bull,GLASSO-GAT,1350,0.1268109226833325,0.08413026845499046,1.419125990060952,-0.01227936910389792,0.09750165366924682,0.06948226249089297
Bull,TC-MAC,1350,0.11984313879008712,0.08416768230707403,1.344799069478636,-0.012204196132106576,0.08320438684032222,0.0648255786608963
Bull,JM-MPC,1350,0.16394635231932142,0.09297544170807547,1.6328640809369575,-0.013578844495925618,4.268248049366713e-11,0.03661977461618398
Sideways,X-GAT-DRL (Hybrid),312,0.07018392930243267,0.068210308470432,0.9944322458976955,-0.009523716903262336,0.018730342693392237,0.3408193439381931
Sideways,X-GAT-DRL (GRU),312,0.07209789760649676,0.06958387782761942,1.000481477125462,-0.009482440297839238,0.0168621407762267,0.33029792319490026
Sideways,X-GAT-DRL (LSTM),312,0.07345675062290202,0.0738860479964513,0.9593698844703459,-0.010186682570258999,0.016192544602260214,0.32341277351473874
Sideways,1/N,312,0.10817126252794274,0.11119487520434483,0.9237039500274693,-0.015256506804174041,0.00304240028821467,0.0
Sideways,GMV,312,0.08952157453449971,0.04360410949990183,1.9662980949348343,-0.005514902707582165,0.0018103545971081185,0.5
Sideways,HMM-GMV,312,0.08799579168154636,0.06436014766976862,1.3103960065357394,-0.008808394209866056,0.022783317683887336,0.13553463160555174
Sideways,GLASSO-GAT,312,0.0741940466872979,0.11333177494469308,0.6315144752576358,-0.015454150949225554,0.12945256545260397,0.06857685278909005
Sideways,TC-MAC,312,0.07098391472846721,0.11119010720495885,0.6167614561136032,-0.015029326796884504,0.11435322343241427,0.058176797180090445
Sideways,JM-MPC,312,0.10704531816850094,0.1121830013654089,0.9065062395586602,-0.015542127923401861,7.035493389017819e-11,0.03999219340967846
Bear,X-GAT-DRL (Hybrid),245,-0.06603164624944868,0.11799843182253467,-0.5789290820755598,-0.019312296846296626,0.016781430708410042,0.45943347046465355
Bear,X-GAT-DRL (GRU),245,-0.07119042834894551,0.11955720622445709,-0.6177088407177587,-0.019588297970850873,0.01591228402470005,0.43940848032841523
Bear,X-GAT-DRL (LSTM),245,-0.0800728046819239,0.12696342840246091,-0.6573605379471971,-0.02079253852815645,0.016163806390456642,0.4351384902326828
Bear,1/N,245,-0.13476048770462323,0.22995190046820962,-0.6294747608358543,-0.0376385924601623,0.005119748261507341,0.0
Bear,GMV,245,-0.0322879861625206,0.06611763341033236,-0.49639923032196265,-0.009822285196565174,0.004849498156575658,0.5
Bear,HMM-GMV,245,-0.06102316031007182,0.07611218055575694,-0.827258718450297,-0.011661481054823349,0.019257647824958722,0.2317353277234783
Bear,GLASSO-GAT,245,-0.07176993280223976,0.2199822422359338,-0.33855305285730725,-0.033702282457303334,0.20363206486343233,0.07101929389718699
Bear,TC-MAC,245,-0.16176690721832399,0.23863311181764307,-0.7394575805349414,-0.03866923986928612,0.2192538159263713,0.044291812954655015
Bear,JM-MPC,245,-0.14744744453268022,0.22155758005839762,-0.7199953305167953,-0.03646568098577563,9.931934704937471e-11,0.04104540402124074
