Method,Metric,Policy seeds,Mean,Median,Standard deviation,10th percentile,90th percentile,Minimum,Maximum
X-GAT-DRL (Hybrid),Annualised return,5,0.08311283218324746,0.08082667460254211,0.012143796282256057,0.07198901862668876,0.09541164106966793,0.06732089655291507,0.10020742930147808
X-GAT-DRL (Hybrid),Annualised volatility,5,0.07833768078134265,0.07943237424898748,0.007100200695090336,0.0715585034408208,0.08438261286832427,0.06768220484134113,0.08751131738893261
X-GAT-DRL (Hybrid),Sharpe ratio,5,1.0269666409617495,0.9571227458827669,0.18510720347828385,0.8605020576046355,1.228810422514637,0.8420471561589807,1.2490943265854229
X-GAT-DRL (Hybrid),Sortino ratio,5,0.9470781645988611,0.8809943669113844,0.16721601083886453,0.7967277228622289,1.1286918678424351,0.7749214912686853,1.143383550088793
X-GAT-DRL (Hybrid),Maximum drawdown,5,-0.13596096578019295,-0.14343703911011418,0.02237794476817042,-0.15441463201605463,-0.11171856198024922,-0.15700002965844229,-0.10093036074137596
X-GAT-DRL (Hybrid),Daily CVaR 95%,5,-0.011782726491833371,-0.011991828867804775,0.001137624564564635,-0.0127096664272317,-0.0106966358555622,-0.013176146857898053,-0.01001175737334728
X-GAT-DRL (Hybrid),Final wealth,5,1.8343398107468496,1.800725864515378,0.15642774549612645,1.6934496819522598,1.9943848893004708,1.6372740673705393,2.0599524104553737
X-GAT-DRL (Hybrid),Mean turnover,5,0.020506270134126547,0.020225687982916293,0.0019383115016565137,0.018808953347769445,0.022384740497326465,0.017983943635102858,0.023373200214943806
X-GAT-DRL (Hybrid),Total transaction cost,5,0.05184805406094591,0.051253403251103925,0.004381649925256637,0.04796694855879655,0.05607929404343527,0.04603407080411981,0.058223408099788015
X-GAT-DRL (Hybrid),Mean HHI,5,0.16988866085645968,0.17022995983753314,0.012249600065289416,0.15827594076821422,0.1823287012507663,0.1567172539157415,0.1878792672896307
X-GAT-DRL (Hybrid),Mean cash weight,5,0.2928413760793848,0.2924245383805564,0.009712723636267418,0.283689238141676,0.30279765116667123,0.28178547454197184,0.30708428796702913
X-GAT-DRL (GRU),Annualised return,5,0.07943786102755665,0.07886009675987538,0.0024850305307094153,0.07708405306771104,0.08209091403642499,0.07688469056914449,0.08233172819571988
X-GAT-DRL (GRU),Annualised volatility,5,0.07647960650361788,0.07681838475990571,0.009862643576972207,0.06723986568274992,0.08480277999170692,0.06092166866491664,0.08813226419100009
