Reference,Comparator,Metric,Direction-adjusted effect,Confidence low,Confidence high,Probability reference favourable,Two-sided centred-bootstrap p-value,Bootstrap repetitions,Block length,Holm p-value
X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),Annualised return,0.0036172443876856253,-0.00629677475036977,0.013830033875664574,0.774,0.45550889822035595,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),Sharpe ratio,0.02979719930411162,-0.0915996665505529,0.15543994013811008,0.6874,0.6224755048990201,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),Daily CVaR 95%,-0.0002442054179905527,-0.0006665299525456265,0.00013741515470489478,0.1076,0.22435512897420515,5000,20,0.35752849430113975
X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),Maximum drawdown,-0.0012056107882718603,-0.018416917570442632,0.015298512192636449,0.4064,0.8328334333133374,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),Mean turnover,-0.002842454764764614,-0.00326382446874682,-0.002427869231180811,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),X-GAT-DRL (LSTM),Annualised return,0.003210846351292096,-0.009648114637557752,0.016642198371607443,0.695,0.619876024795041,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (LSTM),Sharpe ratio,0.05679055685900991,-0.1006449051286366,0.21666006103798915,0.7684,0.46870625874825034,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (LSTM),Daily CVaR 95%,0.00035745573137840013,-0.00017900938880041314,0.0008707154805329313,0.9088,0.17876424715056988,5000,20,0.35752849430113975
X-GAT-DRL (Hybrid),X-GAT-DRL (LSTM),Maximum drawdown,0.0048790039981077005,-0.013620639625719027,0.034329300478802414,0.817,0.5646870625874825,5000,20,1.0
X-GAT-DRL (Hybrid),X-GAT-DRL (LSTM),Mean turnover,-0.0032305550851122987,-0.003622998507409239,-0.002826472937109224,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),1/N,Annualised return,-0.021523672006216854,-0.06367252508656965,0.02016088743211204,0.1518,0.30553889222155567,5000,20,1.0
X-GAT-DRL (Hybrid),1/N,Sharpe ratio,0.0632164693468017,-0.158619201368832,0.2547990460944881,0.6978,0.5384923015396921,5000,20,1.0
X-GAT-DRL (Hybrid),1/N,Daily CVaR 95%,0.006408691637660264,0.004069154696885952,0.009682711633185966,1.0,0.0007998400319936012,5000,20,0.003999200159968006
X-GAT-DRL (Hybrid),1/N,Maximum drawdown,0.0909308499879512,0.02750968384126055,0.17613902271311616,0.9996,0.021595680863827234,5000,20,0.10797840431913618
X-GAT-DRL (Hybrid),1/N,Mean turnover,-0.0174677892990726,-0.019464431960923227,-0.015527339525675024,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),GMV,Annualised return,0.03837201815065461,0.0018163527901265135,0.07485892364748374,0.9806,0.038992201559688064,5000,20,0.27294541091781643
X-GAT-DRL (Hybrid),GMV,Sharpe ratio,0.3122845236317218,-0.10689113412034945,0.7541125189243542,0.9268,0.16176764647070585,5000,20,0.9706058788242351
X-GAT-DRL (Hybrid),GMV,Daily CVaR 95%,-0.005538257383313168,-0.007019346733499825,-0.004324124228897434,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),GMV,Maximum drawdown,-0.030363076738529893,-0.12425510856017666,-0.008878836697622594,0.007,0.2709458108378324,5000,20,1.0
X-GAT-DRL (Hybrid),GMV,Mean turnover,-0.018543538847111442,-0.020602607514567713,-0.016571649256726845,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),HMM-GMV,Annualised return,0.04086956103129635,0.00495376525764226,0.07471191701741119,0.9862,0.023595280943811237,5000,20,0.1887622475504899
