Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2008-01-03,103.17986297607422,43.48960113525391,57.87826156616211,44.91250991821289,33.70865631103516,55.69108581542969,53.51311492919922,51.46611404418945,31.46046257019043,85.56999969482422,27.1999626159668,27.61233901977539
2008-01-04,100.65126037597656,41.582313537597656,56.13404846191406,43.89215850830078,32.69614791870117,55.83693313598633,53.52448654174805,51.88960266113281,31.425621032714844,85.12999725341797,27.041824340820312,26.49128532409668
2008-01-07,100.56575775146484,41.38471603393555,56.25861358642578,43.93803024291992,32.93571090698242,55.93841552734375,53.75729370117188,51.8262939453125,31.238689422607425,84.7699966430664,26.550756454467773,26.737823486328125
2008-01-08,98.94180297851562,40.310791015625,54.5222053527832,43.691532135009766,32.68032455444336,56.05893707275391,53.6948356628418,51.72894287109375,31.05817604064941,86.77999877929688,26.792125701904297,25.812145233154297
2008-01-09,99.9817123413086,41.169918060302734,55.0750617980957,44.00680541992188,33.7515983581543,55.97014617919922,53.79703140258789,51.62188720703125,30.71919059753418,86.55000305175781,26.525787353515625,26.26799964904785
2008-01-10,100.63699340820312,41.23005676269531,55.83037567138672,43.96095657348633,34.14936065673828,55.8178596496582,53.07027053833008,51.47098159790039,30.94727897644043,88.25,26.40093994140625,26.67269897460937
2008-01-11,99.82496643066406,40.42246627807617,54.67791748046875,43.08391952514648,33.1888427734375,56.173095703125,53.48476791381836,51.84580612182617,31.01380157470703,88.58000183105469,26.64230728149414,26.67734909057617
2008-01-14,100.6298828125,41.12696075439453,55.12954711914063,43.771785736083984,33.67700958251953,56.198463439941406,53.68348693847656,51.63160705566406,30.906064987182617,89.54000091552734,26.97523498535156,26.565717697143555
2008-01-15,98.41471099853516,39.99290466308594,54.1172981262207,42.35016250610352,32.15373611450195,56.566349029541016,54.28532409667969,51.909027099609375,30.985294342041016,87.98999786376953,26.64230728149414,26.026121139526367
2008-01-16,97.56710052490234,39.5633430480957,54.17181015014648,41.49605941772461,30.81578826904297,56.45849990844727,53.8935432434082,51.83122253417969,30.95042610168457,86.69999694824219,26.392616271972656,26.323827743530277
2008-01-17,95.03852081298828,39.013484954833984,52.85586166381836,40.87123489379883,29.918535232543945,56.91512298583984,54.591915130615234,52.074588775634766,30.731843948364254,86.5,26.051368713378903,25.965639114379883
2008-01-18,94.06272888183594,38.96194839477539,52.341922760009766,41.10626220703125,30.601072311401367,56.83267974853516,54.2171745300293,51.98695755004883,30.972620010375977,87.41999816894531,26.1512451171875,25.621410369873047
2008-01-22,93.10829162597656,37.95675659179688,51.96816635131836,39.95980453491211,29.832653045654297,57.4669303894043,54.79630279541016,52.09896087646485,30.75721740722656,88.16999816894531,26.059688568115234,26.235448837280277
2008-01-23,95.34481048583984,37.8106689453125,53.7435302734375,39.72478485107422,30.022506713867188,57.20049285888672,54.67140197753906,52.16707229614258,30.81737518310547,87.88999938964844,25.568626403808597,28.724084854125977
