Phase,Trading days,Fraction of sample,Benchmark annualised return,Benchmark annualised volatility,Benchmark Sharpe,Mean drawdown,Worst drawdown,Mean VIX
Bear,826,0.17668449197860964,-0.1810770344576056,0.36581909883911495,-0.5460766246312349,-0.2172955734929455,-0.5185050404129965,32.73812348668281
Bull,3079,0.6586096256684492,0.23605927465088317,0.12305722302528081,1.7221932163978086,-0.01750155253615475,-0.0996728702348294,16.076222799610264
Sideways,770,0.16470588235294117,0.025369941742297675,0.1834409031629545,0.13657513572954968,-0.09821525311566415,-0.19992264117892422,21.467519480519478
