Asset 1,Asset 2,Mean signed weight,Mean absolute weight,Edge persistence
SPY,QQQ,0.6788994669914246,0.6788994669914246,1.0
IEF,TLT,0.5430498123168945,0.5430498123168945,1.0
TLT,LQD,0.40821924805641174,0.40821924805641174,1.0
IEF,LQD,0.3236936628818512,0.3236936628818512,1.0
EFA,EEM,0.43459293246269226,0.43459293246269226,0.9963293130571579
LQD,HYG,0.3153959810733795,0.3153959810733795,0.9879391714735186
SPY,IWM,0.2682569622993469,0.2682569622993469,0.951232302045097
SPY,VNQ,0.23304499685764313,0.23304499685764313,0.9465128474043
IWM,VNQ,0.20747990906238556,0.20747990906238556,0.9328788673308862
QQQ,EEM,0.1275579333305359,0.1275579333305359,0.9098059779758784
IEF,GLD,0.14456842839717865,0.14456842839717865,0.8683796539066597
GLD,DBC,0.23633892834186554,0.23633892834186554,0.8112218143681175
EEM,GLD,0.11015626043081284,0.11237383633852005,0.7000524383848977
SPY,EFA,0.1546163558959961,0.1546163558959961,0.6984792868379653
IWM,HYG,0.10843171924352646,0.10843171924352646,0.6072364971158888
EEM,DBC,0.06923366338014603,0.07150965929031372,0.5422128998426848
QQQ,VNQ,-0.13429124653339386,0.13501505553722382,0.5201887781856319
TLT,HYG,-0.05976284295320511,0.05976284295320511,0.47299423177766126
EFA,GLD,0.05883966013789177,0.05883966013789177,0.4687991609858416
IWM,EFA,0.06914932280778885,0.06914932280778885,0.39643418982695333
HYG,DBC,0.04812466353178024,0.04812466353178024,0.38751966439433666
EFA,DBC,0.010776154696941376,0.05600021034479141,0.37598321971683274
DBC,VNQ,-0.046357665210962296,0.05321209505200386,0.37441006816990036
EFA,HYG,0.06294382363557816,0.06294382363557816,0.36444677503932876
QQQ,IWM,0.009652724489569664,0.057408496737480164,0.3581541688515994
SPY,HYG,0.04634686931967735,0.04634686931967735,0.31934976402726795
QQQ,DBC,-0.03720421344041824,0.03969854861497879,0.27897220765600417
EFA,VNQ,0.04326817765831947,0.04326817765831947,0.23807026743576298
EEM,HYG,0.024939022958278656,0.024939022958278656,0.20713162034609334
LQD,VNQ,0.017602860927581787,0.017602860927581787,0.20713162034609334
EEM,VNQ,-0.008891363628208637,0.01534978486597538,0.20293654955427373
IEF,DBC,-0.01778334565460682,0.018543079495429993,0.19874147876245413
IWM,EEM,0.02064625360071659,0.02555372193455696,0.1824855794441531
QQQ,HYG,0.020703691989183426,0.020703691989183426,0.17461982170949134
TLT,GLD,-0.0013467416865751147,0.015075933188199997,0.17357105401153644
QQQ,LQD,0.018514640629291534,0.018514640629291534,0.1578395385422129
TLT,DBC,-0.009293951094150543,0.012097606435418129,0.15207131620346093
IWM,DBC,0.017398960888385773,0.017398960888385773,0.14735186156266386
IWM,GLD,-0.012639282271265984,0.02135831117630005,0.14525432616675407
HYG,VNQ,0.022601183503866196,0.024264587089419365,0.1447299423177766
EFA,TLT,-0.007880616001784801,0.007880616001784801,0.1232302045097011
EFA,IEF,-0.009654080495238304,0.009654080495238304,0.10225485055060304
IEF,HYG,-0.0014317722525447607,0.007175982929766178,0.08390141583639224
GLD,VNQ,-0.005134931765496731,0.008150781504809856,0.07813319349764027
LQD,GLD,0.006830376572906971,0.006830376572906971,0.07656004195070792
IWM,IEF,-0.00491046067327261,0.00491046067327261,0.07341373885684321
HYG,GLD,0.00842281710356474,0.00885708723217249,0.06659674882013635
QQQ,EFA,0.006581706460565329,0.008400537073612213,0.06449921342422653
IEF,VNQ,0.004987393040210009,0.004987393040210009,0.05768222338751967
QQQ,GLD,-0.0005323956720530987,0.004637544974684715,0.05663345568956476
QQQ,IEF,-0.003433788660913706,0.003433788660913706,0.040377556371263765
SPY,EEM,-0.002198681468144059,0.004635662771761417,0.03670686942842161
TLT,VNQ,0.0036160715389996767,0.0036160715389996767,0.03513371788148925
EFA,LQD,0.001201028237119317,0.001201028237119317,0.030414263240692185
SPY,IEF,-0.0007861938793212175,0.0007861938793212175,0.02202412165705296
EEM,LQD,0.0006039278814569116,0.0009204171365126967,0.01782905086523335
EEM,TLT,-0.0009025088511407375,0.0009025088511407375,0.014682747771368642
IWM,TLT,-0.0009939984884113073,0.0010712688090279698,0.013633980073413739
IWM,LQD,0.0006681078230030835,0.0006681078230030835,0.01048767697954903
EEM,IEF,-0.0008093285723589361,0.0008093285723589361,0.009963293130571578
LQD,DBC,-0.00020496641809586436,0.00044574248022399843,0.008914525432616675
QQQ,TLT,-0.00020772712014149874,0.00020772712014149874,0.006292606187729418
SPY,GLD,-0.0010437486926093698,0.0010437486926093698,0.005243838489774515
SPY,TLT,-0.00021884353191126138,0.00021884353191126138,0.004195070791819612
SPY,DBC,-4.7710829676361755e-05,4.7710829676361755e-05,0.0005243838489774515
SPY,LQD,0.0,0.0,0.0
